Stock Index,Stock Price
AC3235,0.8726632220244407
AC3236,1.0108197712480544
AC3237,1.1694282812084198
AC3238,1.5403978957263282
AC3239,1.7258031201846153
AC3240,1.818676293646863
AC3241,1.8592500778442718
AC3242,1.3304319337310677
AC3243,1.3348945820125122
AC3244,1.4979910333950002
AC3245,1.4024680914308565
AC3246,1.0504513257733343
AC3247,0.6686220341830253
AC3248,1.7231248750387878
AC3249,1.4993872630533154
AC3250,0.45879890939055684
AC3251,0.6004643976112842
AC3252,1.53326402387103
AC3253,0.47971572019052505
AC3254,1.3835695419388463
AC3255,1.5853286469094752
AC3256,1.5654065032185291
AC3257,1.3123757393220803
AC3258,1.9756894588836587
AC3259,1.9085270614384156
AC3260,1.7940161197575113
AC3261,0.6610045990987777
AC3262,0.8045228409194948
AC3263,0.6021586384612561
AC3264,0.5760077554510117
AC3265,2.0056921021161283
AC3266,1.7053960590789947
AC3267,1.472807950660095
AC3268,1.9721501656077216
AC3269,0.6163548482637405
AC3270,1.6467336153442795
AC3271,1.7023126190514677
AC3272,1.771225462207636
AC3273,0.918901269987297
AC3274,1.5781340160823518
AC3275,0.6853578426646232
AC3276,0.5523033290287734
AC3277,1.6235772865848135
AC3278,1.7323089254213124
AC3279,1.0116640208939551
AC3280,0.7617795836973189
AC3281,0.9910658494377136
AC3282,1.4898302186579706
AC3283,1.4275257269259938
AC3284,1.6883940410217346
AC3285,1.8812828332683418
AC3286,0.41372861187610027
AC3287,1.4718496232909393
AC3288,0.7762657681009292
AC3289,0.43757981880042557
AC3290,1.2914038970481871
AC3291,1.7751628241211423
AC3292,0.8977359828857421
AC3293,1.1067669446883202
AC3294,0.6208595585903167
AC3295,1.451984516171412
AC3296,1.0773507333847046
AC3297,1.6519312205640007
AC3298,0.7400311971600532
AC3299,0.8447496065979004
AC3300,0.8555181593544007
AC3301,0.4349984247934819
AC3302,0.895450158517456
AC3303,0.8533599037504196
AC3304,0.7389531897995948
AC3305,0.7569382144927977
AC3306,1.19619186933918
AC3307,1.8735491581013848
AC3308,1.8938189738376878
AC3309,1.911901876892975
AC3310,0.5541567333669664
AC3311,1.4952133956670584
AC3312,1.4224628628203249
AC3313,1.7380903496014328
AC3314,0.7369417442490577
AC3315,1.1037352038435937
AC3316,1.3303393121912843
AC3317,1.0827620174285888
AC3318,0.6865137407976627
AC3319,1.5613067664634106
AC3320,1.4251458745861005
AC3321,1.3130031700122564
AC3322,1.2676822804855348
AC3323,0.5321463010101318
AC3324,1.469239993371272
AC3325,0.8039152633087159
AC3326,1.767556149531104
AC3327,0.9390975231203079
AC3328,0.5782453947677613
AC3329,0.46155729683901076
AC3330,1.9718770665089094
AC3331,1.1277640108470917
AC3332,1.3287327753911629
AC3333,1.3872301286648743
AC3334,1.6442385738882836
AC3335,1.0645072782773015
AC3336,1.676318750773135
AC3337,1.313213047945831
AC3338,0.9179911864915847
AC3339,1.1705259756145476
AC3340,1.9266305885471053
AC3341,0.9388656438238144
AC3342,0.6433109815983773
AC3343,0.7441295209478378
AC3344,0.918230223633194
AC3345,1.7970491610767374
AC3346,1.563159670138624
AC3347,1.764532376425828
AC3348,1.050685950008392
AC3349,1.4035190703129985
AC3350,0.802618323023224
AC3351,1.1932001014918325
AC3352,0.9899527648849487
AC3353,0.5030633079703569
AC3354,1.1275400835809708
AC3355,1.2927319629899978
AC3356,0.9870128354644775
AC3357,1.7219676006503404
AC3358,0.6181015922239304
AC3359,1.4271168628251532
AC3360,1.5383592280127008
AC3361,1.8348758102140037
AC3362,0.7808369048857688
AC3363,1.262430607144165
AC3364,1.9107295683105012
